round,server_loss,train_loss,eval_loss
77,0.02704729141467916,0.0040908042172923004,0.09672177269133794
78,0.026041467058738426,0.0041901899807403505,0.09568290559302878
79,0.02293133018039433,0.004124226742271238,0.09252062840689808
80,0.023118976353933767,0.0037745670086584185,0.09243718957465469
81,0.023102895805745254,0.004011077603610999,0.09239137259128263
82,0.02084269288960578,0.003949482368131845,0.09007583941576298
83,0.019491813020847206,0.003754613786165914,0.08879190778453798
84,0.021129913528316786,0.003778852493299312,0.09060651048814075
85,0.025511597516015172,0.0038685968370689586,0.0953317182225656
86,0.022279160446487367,0.003862605356535582,0.09199008314573441
87,0.021731304869587933,0.004128043712865068,0.09187656550062952
88,0.02360620945026832,0.003770928195697371,0.09355020081813509
89,0.018952040700241923,0.003981733110806365,0.08852565381803042
90,0.02215531867529665,0.004131271701298915,0.09192088013408167
91,0.017444352394834692,0.0039986030634829115,0.08683549239903444
92,0.019524834675913944,0.0036196028733117202,0.08920856883214054
93,0.017321305166530823,0.004006928708306555,0.08680362192350564
94,0.017598289971439435,0.0035589399474797194,0.08712520682213527
95,0.01675750158028677,0.0035750251862798144,0.08630719883867949
96,0.019110240042209625,0.003593514353374074,0.0888816973867512
97,0.019568987340400263,0.0035525435323621193,0.08932579962977438
98,0.015394896568198289,0.0036205676644232637,0.08471777694121195
99,0.015729815532852496,0.0034703634802527475,0.08516893698507023
100,0.015008736476634763,0.00367006710009273,0.08443357294456684
